学号,individual_report
pjxpqxbj969,"【学业发展诊断建议书】
学号：pjxpqxbj969 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 1.0）。其在【四六级】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 1.0。核心归因为【行为轨迹发生显著漂移】，当前学业薄弱点为【四六级】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【四六级】维度的断层，防止其彻底滑向学业违约。"
pjxpqxbj971,"【学业发展诊断建议书】
学号：pjxpqxbj971 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.01）。其在【四六级】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.01。核心归因为【表现正常】，当前学业薄弱点为【四六级】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【四六级】维度的断层，防止其彻底滑向学业违约。"
pjxpqxbj972,"【学业发展诊断建议书】
学号：pjxpqxbj972 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.99）。其在【四六级】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.99。核心归因为【综合偏差】，当前学业薄弱点为【四六级】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【四六级】维度的断层，防止其彻底滑向学业违约。"
pjxpqxbj973,"【学业发展诊断建议书】
学号：pjxpqxbj973 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 1.0）。其在【四六级】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 1.0。核心归因为【行为轨迹发生显著漂移】，当前学业薄弱点为【四六级】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【四六级】维度的断层，防止其彻底滑向学业违约。"
pjxpqxbj975,"【学业发展诊断建议书】
学号：pjxpqxbj975 | 诊断画像：自律型领航者 | 演化轨迹：低活跃型

1. 画像定义：全能领跑员，在硬核竞赛和自主学习上表现卓越，是学术榜样。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.931）。其在【四六级】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.931。核心归因为【综合偏差】，当前学业薄弱点为【四六级】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【四六级】维度的断层，防止其彻底滑向学业违约。"
pjxpqxbj976,"【学业发展诊断建议书】
学号：pjxpqxbj976 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.963）。其在【选课】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.963。核心归因为【综合偏差】，当前学业薄弱点为【选课】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【选课】维度的断层，防止其彻底滑向学业违约。"
pjxpqxbj977,"【学业发展诊断建议书】
学号：pjxpqxbj977 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.937）。其在【四六级】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.937。核心归因为【综合偏差】，当前学业薄弱点为【四六级】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【四六级】维度的断层，防止其彻底滑向学业违约。"
pjxpqxbj978,"【学业发展诊断建议书】
学号：pjxpqxbj978 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.881）。其在【四六级】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.881。核心归因为【综合偏差】，当前学业薄弱点为【四六级】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【四六级】维度的断层，防止其彻底滑向学业违约。"
pjxpqxbj979,"【学业发展诊断建议书】
学号：pjxpqxbj979 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.938）。其在【选课】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.938。核心归因为【综合偏差】，当前学业薄弱点为【选课】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【选课】维度的断层，防止其彻底滑向学业违约。"
pjxpqxbj981,"【学业发展诊断建议书】
学号：pjxpqxbj981 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.95）。其在【选课】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.95。核心归因为【综合偏差】，当前学业薄弱点为【选课】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【选课】维度的断层，防止其彻底滑向学业违约。"
pjxpqxbj985,"【学业发展诊断建议书】
学号：pjxpqxbj985 | 诊断画像：学业游离型 | 演化轨迹：持续优良型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：该生行为模式稳定，但在评价体系中触发了【高危稳态偏离】。 系统判定的风险概率极高，达到 0.865。虽在【线上学习】上极其自律，但由于完全偏离了【选课】等关键考核指标，导致学业轨迹出现结构性偏差。

3. 诊断结论：系统判定风险概率为 0.865。核心归因为【综合偏差】，当前学业薄弱点为【选课】。

4. 干预建议：建议关注该生是否存在‘盲目自律’，需引导其将精力回归至【选课】，确保能顺利达成学业目标。"
pjxpqxbj986,"【学业发展诊断建议书】
学号：pjxpqxbj986 | 诊断画像：平衡型稳健生 | 演化轨迹：低活跃型

1. 画像定义：校园中坚力量，各项行为极其均衡、合规且稳定，管理最放心。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.01）。其在【四六级】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.01。核心归因为【表现正常】，当前学业薄弱点为【四六级】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【四六级】维度的断层，防止其彻底滑向学业违约。"
pjxpqxbj987,"【学业发展诊断建议书】
学号：pjxpqxbj987 | 诊断画像：学业游离型 | 演化轨迹：持续优良型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：该生行为模式稳定，但在评价体系中触发了【高危稳态偏离】。 系统判定的风险概率极高，达到 0.881。虽在【线上学习】上极其自律，但由于完全偏离了【四六级】等关键考核指标，导致学业轨迹出现结构性偏差。

3. 诊断结论：系统判定风险概率为 0.881。核心归因为【综合偏差】，当前学业薄弱点为【四六级】。

4. 干预建议：建议关注该生是否存在‘盲目自律’，需引导其将精力回归至【四六级】，确保能顺利达成学业目标。"
pjxpqxbj992,"【学业发展诊断建议书】
学号：pjxpqxbj992 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.896）。其在【体育课】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.896。核心归因为【综合偏差】，当前学业薄弱点为【体育课】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【体育课】维度的断层，防止其彻底滑向学业违约。"
pjxpqxbj994,"【学业发展诊断建议书】
学号：pjxpqxbj994 | 诊断画像：学业游离型 | 演化轨迹：持续优良型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：该生行为模式稳定，但在评价体系中触发了【高危稳态偏离】。 系统判定的风险概率极高，达到 0.945。虽在【线上学习】上极其自律，但由于完全偏离了【四六级】等关键考核指标，导致学业轨迹出现结构性偏差。

3. 诊断结论：系统判定风险概率为 0.945。核心归因为【综合偏差】，当前学业薄弱点为【四六级】。

4. 干预建议：建议关注该生是否存在‘盲目自律’，需引导其将精力回归至【四六级】，确保能顺利达成学业目标。"
pjxpqxbj997,"【学业发展诊断建议书】
学号：pjxpqxbj997 | 诊断画像：学业游离型 | 演化轨迹：持续优良型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：该生行为模式稳定，但在评价体系中触发了【高危稳态偏离】。 系统判定的风险概率极高，达到 0.953。虽在【线上学习】上极其自律，但由于完全偏离了【四六级】等关键考核指标，导致学业轨迹出现结构性偏差。

3. 诊断结论：系统判定风险概率为 0.953。核心归因为【综合偏差】，当前学业薄弱点为【四六级】。

4. 干预建议：建议关注该生是否存在‘盲目自律’，需引导其将精力回归至【四六级】，确保能顺利达成学业目标。"
pjxpqxbj998,"【学业发展诊断建议书】
学号：pjxpqxbj998 | 诊断画像：平衡型稳健生 | 演化轨迹：持续优良型

1. 画像定义：校园中坚力量，各项行为极其均衡、合规且稳定，管理最放心。

2. 动态分析：整体表现符合其画像逻辑，当前风险处于‘可控范围’。 系统判定的风险概率为 0.01。该生在【线上学习】方面维持了良好的韧性，未见明显的负向漂移信号。

3. 诊断结论：系统判定风险概率为 0.01。核心归因为【表现正常】，当前学业薄弱点为【四六级】。

4. 干预建议：建议维持当前状态，鼓励其在保持【线上学习】优势的同时，进一步优化在【四六级】维度的表现。"
pjxqqxbj947,"【学业发展诊断建议书】
学号：pjxqqxbj947 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 1.0）。其在【社团活动】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 1.0。核心归因为【行为轨迹发生显著漂移】，当前学业薄弱点为【社团活动】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【社团活动】维度的断层，防止其彻底滑向学业违约。"
pjxqqxbj949,"【学业发展诊断建议书】
学号：pjxqqxbj949 | 诊断画像：学业游离型 | 演化轨迹：持续优良型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：该生行为模式稳定，但在评价体系中触发了【高危稳态偏离】。 系统判定的风险概率极高，达到 0.946。虽在【讨论记录】上极其自律，但由于完全偏离了【学生签到】等关键考核指标，导致学业轨迹出现结构性偏差。

3. 诊断结论：系统判定风险概率为 0.946。核心归因为【综合偏差】，当前学业薄弱点为【学生签到】。

4. 干预建议：建议关注该生是否存在‘盲目自律’，需引导其将精力回归至【学生签到】，确保能顺利达成学业目标。"
pjxqqxbj951,"【学业发展诊断建议书】
学号：pjxqqxbj951 | 诊断画像：学业游离型 | 演化轨迹：持续优良型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：该生行为模式稳定，但在评价体系中触发了【高危稳态偏离】。 系统判定的风险概率极高，达到 0.918。虽在【体育课】上极其自律，但由于完全偏离了【student】等关键考核指标，导致学业轨迹出现结构性偏差。

3. 诊断结论：系统判定风险概率为 0.918。核心归因为【综合偏差】，当前学业薄弱点为【student】。

4. 干预建议：建议关注该生是否存在‘盲目自律’，需引导其将精力回归至【student】，确保能顺利达成学业目标。"
pjxqqxbj954,"【学业发展诊断建议书】
学号：pjxqqxbj954 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.915）。其在【体测数据】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.915。核心归因为【综合偏差】，当前学业薄弱点为【体测数据】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【体测数据】维度的断层，防止其彻底滑向学业违约。"
pjxqqxbj957,"【学业发展诊断建议书】
学号：pjxqqxbj957 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.939）。其在【奖学金获奖】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.939。核心归因为【综合偏差】，当前学业薄弱点为【奖学金获奖】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【奖学金获奖】维度的断层，防止其彻底滑向学业违约。"
pjxqqxbj959,"【学业发展诊断建议书】
学号：pjxqqxbj959 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.945）。其在【体能】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.945。核心归因为【综合偏差】，当前学业薄弱点为【体能】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【体能】维度的断层，防止其彻底滑向学业违约。"
pjxqqxbj961,"【学业发展诊断建议书】
学号：pjxqqxbj961 | 诊断画像：学业游离型 | 演化轨迹：持续优良型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：该生行为模式稳定，但在评价体系中触发了【高危稳态偏离】。 系统判定的风险概率极高，达到 1.0。虽在【图书馆】上极其自律，但由于完全偏离了【体能】等关键考核指标，导致学业轨迹出现结构性偏差。

3. 诊断结论：系统判定风险概率为 1.0。核心归因为【综合偏差】，当前学业薄弱点为【体能】。

4. 干预建议：建议关注该生是否存在‘盲目自律’，需引导其将精力回归至【体能】，确保能顺利达成学业目标。"
pjxqqxbj964,"【学业发展诊断建议书】
学号：pjxqqxbj964 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 1.0）。其在【日常锻炼】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 1.0。核心归因为【综合偏差】，当前学业薄弱点为【日常锻炼】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【日常锻炼】维度的断层，防止其彻底滑向学业违约。"
pjxqqxbj967,"【学业发展诊断建议书】
学号：pjxqqxbj967 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 1.0）。其在【选课】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 1.0。核心归因为【行为轨迹发生显著漂移】，当前学业薄弱点为【选课】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【选课】维度的断层，防止其彻底滑向学业违约。"
pjxqqxbj969,"【学业发展诊断建议书】
学号：pjxqqxbj969 | 诊断画像：自律型领航者 | 演化轨迹：低活跃型

1. 画像定义：全能领跑员，在硬核竞赛和自主学习上表现卓越，是学术榜样。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 1.0）。其在【四六级】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 1.0。核心归因为【综合偏差】，当前学业薄弱点为【四六级】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【四六级】维度的断层，防止其彻底滑向学业违约。"
pjxqqxbj970,"【学业发展诊断建议书】
学号：pjxqqxbj970 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.92）。其在【跑步打卡】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.92。核心归因为【综合偏差】，当前学业薄弱点为【跑步打卡】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【跑步打卡】维度的断层，防止其彻底滑向学业违约。"
pjxqqxbj973,"【学业发展诊断建议书】
学号：pjxqqxbj973 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.915）。其在【社团活动】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.915。核心归因为【综合偏差】，当前学业薄弱点为【社团活动】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【社团活动】维度的断层，防止其彻底滑向学业违约。"
pjxqqxbj974,"【学业发展诊断建议书】
学号：pjxqqxbj974 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.943）。其在【本科生综合测评】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.943。核心归因为【综合偏差】，当前学业薄弱点为【本科生综合测评】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【本科生综合测评】维度的断层，防止其彻底滑向学业违约。"
pjxqqxbj975,"【学业发展诊断建议书】
学号：pjxqqxbj975 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.962）。其在【学生签到】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.962。核心归因为【综合偏差】，当前学业薄弱点为【学生签到】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【学生签到】维度的断层，防止其彻底滑向学业违约。"
pjxqqxbj977,"【学业发展诊断建议书】
学号：pjxqqxbj977 | 诊断画像：非传统学习型 | 演化轨迹：低活跃型

1. 画像定义：精力侧重于素质拓展与社交，校园生活活跃，但学术投入较佛系。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.01）。其在【体育课】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.01。核心归因为【表现正常】，当前学业薄弱点为【体育课】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【体育课】维度的断层，防止其彻底滑向学业违约。"
pjxqqxbj979,"【学业发展诊断建议书】
学号：pjxqqxbj979 | 诊断画像：非传统学习型 | 演化轨迹：低活跃型

1. 画像定义：精力侧重于素质拓展与社交，校园生活活跃，但学术投入较佛系。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.823）。其在【学生签到】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.823。核心归因为【综合偏差】，当前学业薄弱点为【学生签到】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【学生签到】维度的断层，防止其彻底滑向学业违约。"
pjxqqxbj981,"【学业发展诊断建议书】
学号：pjxqqxbj981 | 诊断画像：非传统学习型 | 演化轨迹：低活跃型

1. 画像定义：精力侧重于素质拓展与社交，校园生活活跃，但学术投入较佛系。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.01）。其在【本科生综合测评】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.01。核心归因为【表现正常】，当前学业薄弱点为【本科生综合测评】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【本科生综合测评】维度的断层，防止其彻底滑向学业违约。"
pjxqqxbj982,"【学业发展诊断建议书】
学号：pjxqqxbj982 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.928）。其在【体测数据】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.928。核心归因为【综合偏差】，当前学业薄弱点为【体测数据】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【体测数据】维度的断层，防止其彻底滑向学业违约。"
pjxqqxbj983,"【学业发展诊断建议书】
学号：pjxqqxbj983 | 诊断画像：非传统学习型 | 演化轨迹：低活跃型

1. 画像定义：精力侧重于素质拓展与社交，校园生活活跃，但学术投入较佛系。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.01）。其在【学生签到】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.01。核心归因为【表现正常】，当前学业薄弱点为【学生签到】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【学生签到】维度的断层，防止其彻底滑向学业违约。"
pjxqqxbj985,"【学业发展诊断建议书】
学号：pjxqqxbj985 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 1.0）。其在【本科生综合测评】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 1.0。核心归因为【综合偏差】，当前学业薄弱点为【本科生综合测评】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【本科生综合测评】维度的断层，防止其彻底滑向学业违约。"
pjxqqxbj986,"【学业发展诊断建议书】
学号：pjxqqxbj986 | 诊断画像：非传统学习型 | 演化轨迹：低活跃型

1. 画像定义：精力侧重于素质拓展与社交，校园生活活跃，但学术投入较佛系。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.01）。其在【学生签到】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.01。核心归因为【表现正常】，当前学业薄弱点为【学生签到】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【学生签到】维度的断层，防止其彻底滑向学业违约。"
pjxqqxbj988,"【学业发展诊断建议书】
学号：pjxqqxbj988 | 诊断画像：非传统学习型 | 演化轨迹：低活跃型

1. 画像定义：精力侧重于素质拓展与社交，校园生活活跃，但学术投入较佛系。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.01）。其在【选课】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.01。核心归因为【表现正常】，当前学业薄弱点为【选课】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【选课】维度的断层，防止其彻底滑向学业违约。"
pjxqqxbj989,"【学业发展诊断建议书】
学号：pjxqqxbj989 | 诊断画像：非传统学习型 | 演化轨迹：低活跃型

1. 画像定义：精力侧重于素质拓展与社交，校园生活活跃，但学术投入较佛系。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.01）。其在【选课】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.01。核心归因为【表现正常】，当前学业薄弱点为【选课】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【选课】维度的断层，防止其彻底滑向学业违约。"
pjxqqxbj991,"【学业发展诊断建议书】
学号：pjxqqxbj991 | 诊断画像：自律型领航者 | 演化轨迹：低活跃型

1. 画像定义：全能领跑员，在硬核竞赛和自主学习上表现卓越，是学术榜样。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 1.0）。其在【体测数据】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 1.0。核心归因为【综合偏差】，当前学业薄弱点为【体测数据】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【体测数据】维度的断层，防止其彻底滑向学业违约。"
pjxqqxbj996,"【学业发展诊断建议书】
学号：pjxqqxbj996 | 诊断画像：非传统学习型 | 演化轨迹：低活跃型

1. 画像定义：精力侧重于素质拓展与社交，校园生活活跃，但学术投入较佛系。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.01）。其在【选课】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.01。核心归因为【表现正常】，当前学业薄弱点为【选课】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【选课】维度的断层，防止其彻底滑向学业违约。"
pjxqqxbj997,"【学业发展诊断建议书】
学号：pjxqqxbj997 | 诊断画像：平衡型稳健生 | 演化轨迹：持续优良型

1. 画像定义：校园中坚力量，各项行为极其均衡、合规且稳定，管理最放心。

2. 动态分析：整体表现符合其画像逻辑，当前风险处于‘可控范围’。 系统判定的风险概率为 0.01。该生在【线上学习】方面维持了良好的韧性，未见明显的负向漂移信号。

3. 诊断结论：系统判定风险概率为 0.01。核心归因为【表现正常】，当前学业薄弱点为【选课】。

4. 干预建议：建议维持当前状态，鼓励其在保持【线上学习】优势的同时，进一步优化在【选课】维度的表现。"
